Application,Name,Type,sourceLanguage,mainDirectory,subDirectory,fileName,fileExtension,JavaComments,CCType,Scope,NewProgramName,FunctionalArea,JavaClass,comments
GROUP,DRYTRD,CBL,,DIARY,CBL,DRYTRD,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYTSTNUMC,CLP,,DIARY,CLP,DRYTSTNUMC,CLP,,SRC,,,DBCHDRY,,
GROUP,DRYVAL,CBL,,DIARY,CBL,DRYVAL,CBL,,SRC,,,DBCHDRY,,
GROUP,DRYVERCL,CLP,,DIARY,CLP,DRYVERCL,CLP,,SRC,,,DBCHDRY,,
GROUP,DSIN,LF,,DIARY,,DSIN,xls,,,,,DBCHDRY,,
GROUP,DSINKEY,CPY,,DIARY,CPY,DSINKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DSINPF,PF,,DIARY,,DSINPF,xls,,PF,,,DBCHDRY,,
GROUP,DSINRNB,LF,,DIARY,,DSINRNB,xls,,,,,DBCHDRY,,
GROUP,DSINRNBKEY,CPY,,DIARY,CPY,DSINRNBKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DSINRNBSKM,CPY,,DIARY,CPY,DSINRNBSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DSINSKM,CPY,,DIARY,CPY,DSINSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DSINUPD,LF,,DIARY,,DSINUPD,xls,,,,,DBCHDRY,,
GROUP,DSINUPDKEY,CPY,,DIARY,CPY,DSINUPDKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DSINUPDSKM,CPY,,DIARY,CPY,DSINUPDSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DTRD,LF,,DIARY,,DTRD,xls,,,,,DBCHDRY,,
GROUP,DTRDKEY,CPY,,DIARY,CPY,DTRDKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DTRDPF,PF,,DIARY,,DTRDPF,xls,,PF,,,DBCHDRY,,
GROUP,DTRDPRC,LF,,DIARY,,DTRDPRC,xls,,,,,DBCHDRY,,
GROUP,DTRDPRCKEY,CPY,,DIARY,CPY,DTRDPRCKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DTRDPRCSKM,CPY,,DIARY,CPY,DTRDPRCSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DTRDSKM,CPY,,DIARY,CPY,DTRDSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,DTRDTRD,LF,,DIARY,,DTRDTRD,xls,,,,,DBCHDRY,,
GROUP,DTRDTRDKEY,CPY,,DIARY,CPY,DTRDTRDKEY,CPY,,SRC,,,DBCHDRY,,
GROUP,DTRDTRDSKM,CPY,,DIARY,CPY,DTRDTRDSKM,CPY,,SRC,,,DBCHDRY,,
GROUP,ENDDRYSYS,CMD,,DIARY,CMD,ENDDRYSYS,CMD,,SRC,,,DBCHDRY,,
GROUP,ENDDRYSYSC,CLP,,DIARY,CLP,ENDDRYSYSC,CLP,,SRC,,,DBCHDRY,,
GROUP,ENDDRYTRD,CMD,,DIARY,CMD,ENDDRYTRD,CMD,,SRC,,,DBCHDRY,,
GROUP,ENDDRYTRDC,CLP,,DIARY,CLP,ENDDRYTRDC,CLP,,SRC,,,DBCHDRY,,
GROUP,ENDTRD,CBL,,DIARY,CBL,ENDTRD,CBL,,SRC,,,DBCHDRY,,
GROUP,MAINBD,CPY,,DIARY,CPY,MAINBD,CPY,,SRC,,,DBCHDRY,,
GROUP,MAIND,CPY,,DIARY,CPY,MAIND,CPY,,SRC,O,,DBCHDRY,,
GROUP,P7500,CBL,,DIARY,CBL,P7500,CBL,,SRC,,,DBCHDRY,,
GROUP,P7501,CBL,,DIARY,CBL,P7501,CBL,,SRC,,,DBCHDRY,,
GROUP,P7502,CBL,,DIARY,CBL,P7502,CBL,,SRC,,,DBCHDRY,,
GROUP,P7503,CBL,,DIARY,CBL,P7503,CBL,,SRC,,,DBCHDRY,,
GROUP,P7505,CBL,,DIARY,CBL,P7505,CBL,,SRC,,,DBCHDRY,,
GROUP,P7506,CBL,,DIARY,CBL,P7506,CBL,,SRC,,,DBCHDRY,,
GROUP,P7507,CBL,,DIARY,CBL,P7507,CBL,,SRC,,,DBCHDRY,,
